striker,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct
CL White,44,988,743,270,304,62,4,71,44,29.0,34.07,132.97,0.15
AE Satterthwaite,49,987,940,415,365,68,2,111,6,40.0,24.68,105.0,0.12
HAM Shah,30,982,806,362,283,74,7,92,27,29.0,33.86,121.84,0.15
Tanzid Hasan,40,982,764,371,232,53,3,90,45,35.0,28.06,128.53,0.18
Sidra Ameen,57,974,1102,573,393,65,5,106,2,52.0,18.73,88.38,0.1
ADS Fletcher,56,973,879,463,278,47,6,65,53,48.0,20.27,110.69,0.13
O Manishimwe,61,968,1049,618,304,69,6,91,24,53.0,18.26,92.28,0.11
T Stubbs,42,966,725,259,305,65,3,75,37,31.0,31.16,133.24,0.15
Kushal Malla,51,965,706,336,251,44,3,54,66,41.0,23.54,136.69,0.17
Kamran Akmal,51,964,804,393,235,66,6,97,31,43.0,22.42,119.9,0.16
RC Belbashi,65,964,1009,541,329,71,3,97,16,40.0,24.1,95.54,0.11
Muhammad Usman,47,959,774,328,309,55,2,72,41,42.0,22.83,123.9,0.15
Nazmul Hossain Shanto,44,959,874,387,354,56,9,88,19,38.0,25.24,109.73,0.12
M Levitt,29,957,673,309,185,55,6,83,52,28.0,34.18,142.2,0.2
GWHM Perera,72,956,1096,579,367,55,5,110,4,58.0,16.48,87.23,0.1
Fargana Hoque,56,952,1099,546,424,77,4,83,5,44.0,21.64,86.62,0.08
Iftikhar Ahmed,51,941,718,261,331,44,2,66,42,40.0,23.52,131.06,0.15
Murshida Khatun,49,941,1056,578,355,70,3,102,4,42.0,22.4,89.11,0.1
Sabbir Rahman,43,939,780,342,306,46,5,88,29,38.0,24.71,120.38,0.15
G Ishimwe,51,937,1057,592,304,100,5,97,5,44.0,21.3,88.65,0.1
Usman Khan,59,932,776,312,318,55,8,87,22,47.0,19.83,120.1,0.14
CS MacLeod,48,930,843,335,350,76,2,83,15,39.0,23.85,110.32,0.12
LS Livingstone,46,926,620,232,267,49,1,51,59,37.0,25.03,149.35,0.18
B Tau,49,925,1022,549,338,62,3,112,1,33.0,28.03,90.51,0.11
H Lakov,32,922,804,348,326,89,5,77,15,27.0,34.15,114.68,0.11
A Bosch,41,919,838,368,315,53,2,102,14,35.0,26.26,109.67,0.14
G Gambhir,34,918,769,331,296,48,8,108,10,31.0,29.61,119.38,0.15
AP Rajeevan,44,913,813,349,315,75,3,83,17,34.0,26.85,112.3,0.12
BA Pai,34,911,813,371,355,62,6,81,15,27.0,33.74,112.05,0.12
S Ravichandran,43,911,746,318,277,72,10,85,20,38.0,23.97,122.12,0.14
A Johnson,31,910,618,323,146,29,2,85,60,28.0,32.5,147.25,0.23
S Davizi,29,910,624,297,195,48,3,106,31,24.0,37.92,145.83,0.22
R Shepherd,55,909,626,288,216,42,1,51,67,30.0,30.3,145.21,0.19
PR Surve,35,909,784,329,305,70,4,71,28,23.0,39.52,115.94,0.13
Shadab Khan,60,904,616,226,251,53,3,64,47,46.0,19.65,146.75,0.18
N Boochatham,79,900,1140,680,327,76,1,103,1,74.0,12.16,78.95,0.09
E Dusingizimana,52,898,821,440,223,56,5,89,32,47.0,19.11,109.38,0.15
NA Greenwood,32,896,634,231,245,58,5,94,24,29.0,30.9,141.32,0.19
W Mwatile,75,893,1085,635,319,76,8,77,15,58.0,15.4,82.3,0.08
CV Anto,42,886,588,273,175,41,3,56,66,36.0,24.61,150.68,0.21
GC Smith,31,884,716,338,221,47,1,110,21,30.0,29.47,123.46,0.18
JE Root,29,881,699,246,309,56,2,91,15,22.0,40.05,126.04,0.15
BFW de Leede,42,881,826,351,340,61,5,65,24,32.0,27.53,106.66,0.11
Yasim Murtaza,59,879,737,306,319,40,0,63,38,48.0,18.31,119.27,0.14
MA Leask,59,879,675,268,263,54,0,58,46,50.0,17.58,130.22,0.15
Razmal Shigiwal,32,875,619,240,240,57,3,74,36,28.0,31.25,141.36,0.18
K Nassoro,58,872,873,414,309,67,3,81,16,43.0,20.28,99.89,0.11
JO Holder,65,869,620,254,240,31,3,51,59,44.0,19.75,140.16,0.18
Muhammad Asim,31,868,642,304,195,40,2,87,39,24.0,36.17,135.2,0.2
M Musonda,44,862,778,358,279,76,5,89,10,37.0,23.3,110.8,0.13
IJR Zwilling,67,858,916,476,313,95,3,79,5,51.0,16.82,93.67,0.09
S Dube,43,857,558,208,243,31,0,54,56,25.0,34.28,153.58,0.2
JP Kotze,45,855,712,377,201,37,0,85,40,38.0,22.5,120.08,0.18
K Motlanka,37,854,817,416,279,58,3,87,17,33.0,25.88,104.53,0.13
Zeeshan Khan,36,852,676,333,220,51,2,98,22,34.0,25.06,126.04,0.18
P Baron,31,851,699,336,206,67,5,97,18,27.0,31.52,121.75,0.16
Aqib Iqbal,45,850,714,295,280,63,6,66,27,36.0,23.61,119.05,0.13
S Mostary,47,848,871,474,299,39,5,87,18,41.0,20.68,97.36,0.12
Shubman Gill,35,846,615,256,207,45,7,93,26,30.0,28.2,137.56,0.19
GC Wilson,49,840,836,363,326,69,4,73,12,42.0,20.0,100.48,0.1
Mohammad Naim,35,839,809,362,314,56,3,74,18,33.0,25.42,103.71,0.11
S Nampiina,65,838,934,508,302,70,4,84,8,47.0,17.83,89.72,0.1
CJA Amini,43,836,713,306,251,75,9,69,22,34.0,24.59,117.25,0.13
Ahmad Ramdoni,60,836,945,528,327,44,1,61,29,41.0,20.39,88.47,0.1
KJ Martin,55,830,706,271,303,38,1,100,8,36.0,23.06,117.56,0.15
V Aravind,34,821,715,324,255,48,8,80,21,27.0,30.41,114.83,0.14
Agha Salman,45,819,666,270,265,44,2,76,26,37.0,22.14,122.97,0.15
SE Rutherford,43,818,542,227,186,38,0,61,52,34.0,24.06,150.92,0.21
Sarfraz Ahmed,40,818,653,233,283,57,3,79,16,29.0,28.21,125.27,0.15
KH Prajapati,43,816,756,378,266,31,4,80,26,38.0,21.47,107.94,0.14
MR Adair,63,814,628,260,230,59,4,55,39,46.0,17.7,129.62,0.15
RL Chase,42,813,670,266,286,54,1,74,20,34.0,23.91,121.34,0.14
IK Gamantika,55,811,829,414,320,53,3,61,22,47.0,17.26,97.83,0.1
H Ishimwe,60,810,817,425,245,90,3,88,4,45.0,18.0,99.14,0.11
Y Daswani,62,808,1054,577,370,68,14,65,0,38.0,21.26,76.66,0.06
RMVD Gunaratne,52,805,911,520,285,46,6,92,7,44.0,18.3,88.36,0.11
MNM Aslam,47,801,700,274,302,42,5,73,18,39.0,20.54,114.43,0.13
S Mtae,46,800,775,452,242,66,4,90,9,42.0,19.05,103.23,0.13
