striker,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct
Raghvi Bist,2,36,30,8,22,0,0,2,1,1.0,36.0,120.0,0.1
Chen Zhuo Yue,8,36,64,41,18,4,0,1,1,5.0,7.2,56.25,0.03
Zayneb Fazil,6,36,56,47,14,3,0,4,0,4.0,9.0,64.29,0.07
LH Ferguson,12,36,42,21,17,2,1,0,2,8.0,4.5,85.71,0.05
Ankush Singh,2,36,29,21,4,1,0,3,3,2.0,18.0,124.14,0.21
E Toguchi-Quinn,13,36,77,57,21,4,1,1,0,8.0,4.5,46.75,0.01
A Magdalenic,14,36,90,71,20,2,0,3,0,11.0,3.27,40.0,0.03
KN Gabhane,2,36,39,20,15,3,1,3,0,0.0,36.0,92.31,0.08
TMA Leslie,11,36,88,67,20,4,0,2,0,9.0,4.0,40.91,0.02
D Murphy,3,35,34,10,19,4,0,2,0,2.0,17.5,102.94,0.06
F Pessima,6,35,66,50,15,6,0,2,0,4.0,8.75,53.03,0.03
Rahat Kazi,8,35,64,51,14,4,1,1,1,6.0,5.83,54.69,0.03
JC Martin,3,35,36,16,15,2,2,1,1,1.0,35.0,97.22,0.06
Shehzad Patel,5,35,42,25,9,4,0,3,1,4.0,8.75,83.33,0.1
S Mahmood,9,35,45,26,15,3,0,2,1,5.0,7.0,77.78,0.07
Waqas Haider,3,35,21,9,5,1,0,4,2,2.0,17.5,166.67,0.29
SK Patel,2,35,37,14,19,4,0,2,0,2.0,17.5,94.59,0.05
MJ Henry,12,35,33,15,13,3,0,4,0,6.0,5.83,106.06,0.12
AM Patel,7,35,44,26,14,3,1,3,0,3.0,11.67,79.55,0.07
DJ Reekers,3,35,22,10,5,1,0,4,2,3.0,11.67,159.09,0.27
B Namuunzul,11,35,113,100,27,2,0,1,0,7.0,5.0,30.97,0.01
C Murrombe,8,35,126,115,15,4,0,3,0,8.0,4.38,27.78,0.02
CB Mpofu,10,35,43,23,15,1,0,3,1,4.0,8.75,81.4,0.09
OE Taylor,7,35,69,36,31,2,0,0,0,6.0,5.83,50.72,0.0
DI Allan,6,35,70,46,21,1,0,3,0,6.0,5.83,50.0,0.04
Arsalan Ahmed,3,35,27,19,5,1,0,7,0,3.0,11.67,129.63,0.26
CI Manidom,10,35,90,72,17,5,0,2,0,6.0,5.83,38.89,0.02
A Zimunu,5,35,39,23,14,1,1,4,0,3.0,11.67,89.74,0.1
E Kubwimana,15,35,62,43,11,8,0,2,0,9.0,3.89,56.45,0.03
LA Goncalves,2,35,33,20,9,4,0,3,1,1.0,35.0,106.06,0.12
A Conteh,6,35,55,39,9,7,0,3,0,6.0,5.83,63.64,0.05
Nay Lin Htun,13,35,56,35,23,2,0,2,0,7.0,5.0,62.5,0.04
Nazakat Ali,2,35,31,14,13,0,0,1,3,2.0,17.5,112.9,0.13
STR Binny,2,35,29,8,17,2,0,2,1,2.0,17.5,120.69,0.1
T Holder,6,35,68,47,13,7,0,2,0,5.0,7.0,51.47,0.03
RM Jariwala,1,35,31,14,11,4,0,4,0,1.0,35.0,112.9,0.13
A Ilaoa,7,35,35,18,9,4,0,3,1,6.0,5.83,100.0,0.11
Nasibullah Arab,3,35,26,13,7,1,0,5,1,3.0,11.67,134.62,0.23
Busra Uca,5,35,94,80,17,7,0,1,0,4.0,8.75,37.23,0.01
M Nanayakkara,1,35,32,15,11,4,0,4,0,1.0,35.0,109.38,0.12
M Phiase,14,35,79,59,21,7,0,0,0,11.0,3.18,44.3,0.0
Nary Thapa,5,35,48,27,19,2,0,3,0,3.0,11.67,72.92,0.06
YI Kachhalia,7,35,55,36,17,3,0,3,0,7.0,5.0,63.64,0.05
S Sharma,9,35,39,27,7,3,0,1,3,8.0,4.38,89.74,0.1
Sathya Narayanan,5,35,51,26,20,2,1,2,0,4.0,8.75,68.63,0.04
S Smale,2,35,29,11,15,0,0,5,0,2.0,17.5,120.69,0.17
I Majdancic,2,35,38,17,23,2,0,2,0,2.0,17.5,92.11,0.05
JDF Vandersay,7,35,40,22,15,1,0,3,1,3.0,11.67,87.5,0.1
Shuvagata Hom,4,35,35,15,15,1,0,3,1,2.0,17.5,100.0,0.11
H Srinivasan,4,35,49,21,26,1,1,1,0,2.0,17.5,71.43,0.02
T Maika,7,35,69,48,17,1,0,4,0,5.0,7.0,50.72,0.06
KE Pounsett,6,35,54,36,14,3,1,3,0,6.0,5.83,64.81,0.06
Amjad Mahboob,13,35,48,27,19,0,0,1,2,7.0,5.0,72.92,0.06
Abdullah Jasat,7,35,29,14,9,3,0,2,2,4.0,8.75,120.69,0.14
P Seldon,8,35,63,36,24,2,1,1,0,5.0,7.0,55.56,0.02
S Kochar,4,35,44,24,15,3,0,2,1,4.0,8.75,79.55,0.07
J Marples,7,34,42,19,18,4,0,2,0,4.0,8.5,80.95,0.05
T Horpinitch,4,34,62,46,10,2,0,5,0,4.0,8.5,54.84,0.08
W McClintock,4,34,38,20,12,3,0,4,0,3.0,11.33,89.47,0.11
Hammad Azam,4,34,34,14,16,0,0,3,1,3.0,11.33,100.0,0.12
JL Aras,2,34,44,18,24,1,0,2,0,1.0,34.0,77.27,0.05
MM Chaudhary,10,34,81,54,26,0,0,2,0,8.0,4.25,41.98,0.02
R Malhotra,4,34,56,28,22,6,0,0,0,3.0,11.33,60.71,0.0
Huang Junjie,5,34,81,65,14,4,0,3,0,5.0,6.8,41.98,0.04
Ansh Tandon,5,34,34,17,12,2,0,3,1,4.0,8.5,100.0,0.12
H Khuttan,3,34,26,12,8,2,0,1,3,3.0,11.33,130.77,0.15
NA Maiolo,4,34,40,19,18,1,0,2,1,4.0,8.5,85.0,0.08
A Krishna,8,34,33,13,14,2,0,4,0,3.0,11.33,103.03,0.12
KV Vakuruivalu,7,34,60,44,18,4,0,2,0,3.0,11.33,56.67,0.03
CD de Lange,2,34,20,7,5,3,1,2,2,2.0,17.0,170.0,0.2
Arafat Sunny,6,34,30,15,10,3,0,3,1,3.0,11.33,113.33,0.13
SM Benade,4,34,40,24,12,1,0,2,2,4.0,8.5,85.0,0.1
W Perchard,3,34,31,11,12,7,0,2,0,0.0,34.0,109.68,0.06
SSB Magala,3,34,18,7,6,0,0,1,4,1.0,34.0,188.89,0.28
MSC Erasito,8,34,91,77,16,5,0,2,0,6.0,5.67,37.36,0.02
Sinan Khan,4,34,36,18,13,3,1,3,0,4.0,8.5,94.44,0.08
A Iopu,4,34,76,62,16,5,0,2,0,4.0,8.5,44.74,0.03
A Kanada,4,34,48,26,22,2,0,2,0,3.0,11.33,70.83,0.04
LK Ebsary,3,34,18,3,6,7,0,2,1,0.0,34.0,188.89,0.17
B Jerkovic,7,34,73,50,20,5,0,1,0,2.0,17.0,46.58,0.01
S Smith,11,34,65,37,28,1,0,1,0,6.0,5.67,52.31,0.02
Manoj Adhikari,6,34,53,33,16,3,0,3,0,3.0,11.33,64.15,0.06
TS Omary,7,34,64,48,11,6,1,2,0,7.0,4.86,53.12,0.03
J Tugsjargal,6,34,102,88,18,4,0,2,0,6.0,5.67,33.33,0.02
YK Rai,1,34,26,9,12,3,0,1,2,1.0,34.0,130.77,0.12
S Kimura,4,34,38,17,14,5,0,1,1,4.0,8.5,89.47,0.05
Shah Faisal,8,34,45,24,18,1,0,2,1,4.0,8.5,75.56,0.07
DK Dahyabhai Ahir,6,34,46,21,22,4,0,1,0,3.0,11.33,73.91,0.02
S Tharanga,4,34,30,21,6,2,0,3,2,3.0,11.33,113.33,0.17
Kashif Khan,4,34,51,32,24,2,0,0,1,3.0,11.33,66.67,0.02
J Hill,7,34,64,43,20,1,0,3,0,4.0,8.5,53.12,0.05
Pavandeep Singh,15,34,59,31,30,2,0,0,0,0.0,34.0,57.63,0.0
O Amarjargal,11,33,136,128,19,3,0,2,0,6.0,5.5,24.26,0.01
Simandeep Singh,7,33,32,11,15,5,0,2,0,4.0,8.25,103.12,0.06
D Staddon,3,33,58,51,11,5,0,3,0,3.0,11.0,56.9,0.05
C Chete,9,33,47,31,10,2,1,4,0,9.0,3.67,70.21,0.09
Angela Busa,13,33,102,91,15,5,0,2,0,11.0,3.0,32.35,0.02
Kamal Soukhiya,5,33,32,16,11,3,0,1,2,5.0,6.6,103.12,0.09
U Peace,13,33,57,35,16,5,1,1,0,5.0,6.6,57.89,0.02
PSP Handscomb,2,33,33,6,23,3,0,1,0,1.0,33.0,100.0,0.03
DLS van Bunge,6,33,34,17,12,1,1,1,2,5.0,6.6,97.06,0.09
R Flannigan,2,33,28,10,10,4,1,3,0,1.0,33.0,117.86,0.11
Mina Baek,2,33,51,34,19,3,0,2,0,1.0,33.0,64.71,0.04
RJMGM Rupasinghe,2,33,39,17,17,1,2,2,0,2.0,16.5,84.62,0.05
DPS Tyagi,8,33,30,15,9,2,0,2,2,4.0,8.25,110.0,0.13
Elias Hasan,6,33,37,20,13,0,0,2,2,4.0,8.25,89.19,0.11
WPUJC Vaas,2,33,41,13,27,1,0,1,0,1.0,33.0,80.49,0.02
Mustapha Yusuf,4,33,34,19,10,3,0,3,0,2.0,16.5,97.06,0.09
S Ozkunduz,4,33,36,29,8,5,1,3,0,3.0,11.0,91.67,0.08
M Cohen,2,33,31,14,15,0,0,3,1,2.0,16.5,106.45,0.13
TS Chisoro,6,33,40,22,13,2,0,1,2,3.0,11.0,82.5,0.08
R Nil,2,33,27,10,11,4,0,2,1,2.0,16.5,122.22,0.11
I Pandey,4,33,50,40,6,2,1,5,0,4.0,8.25,66.0,0.1
M Matine,6,33,59,55,11,1,0,5,0,5.0,6.6,55.93,0.08
Omar Hussain,5,33,40,25,11,4,0,2,1,5.0,6.6,82.5,0.08
Faisal Mehmood,2,33,25,13,7,0,0,5,1,2.0,16.5,132.0,0.24
GO Jones,2,33,25,10,7,3,0,5,0,1.0,33.0,132.0,0.2
IECM Wong,6,33,31,11,14,3,1,1,1,4.0,8.25,106.45,0.06
L Chipanga,11,33,50,37,13,4,0,3,0,5.0,6.6,66.0,0.06
G Ilarionova,9,33,66,54,19,3,0,2,0,8.0,4.12,50.0,0.03
Wan Nor Zulaika,9,33,65,46,13,6,0,2,0,6.0,5.5,50.77,0.03
D Finau,7,33,29,15,9,2,0,2,2,4.0,8.25,113.79,0.14
LJ Myott,8,32,34,17,13,3,1,1,1,3.0,10.67,94.12,0.06
LHB Harrington-Myers,4,32,39,18,17,1,1,1,1,3.0,10.67,82.05,0.05
Nadeem Ahmed,8,32,50,29,14,5,0,2,0,4.0,8.0,64.0,0.04
AH Thomson,9,32,64,40,20,4,0,1,0,6.0,5.33,50.0,0.02
MJ Swepson,5,32,23,9,10,3,0,1,2,0.0,32.0,139.13,0.13
Mirza Baig,2,32,20,10,4,0,0,4,2,1.0,32.0,160.0,0.3
AR Balla,12,32,117,96,24,4,0,0,0,7.0,4.57,27.35,0.0
GA Lamb,4,32,54,28,24,2,0,1,0,2.0,16.0,59.26,0.02
JC Tredwell,5,32,20,6,10,0,0,4,1,2.0,16.0,160.0,0.25
TW Samuels,5,32,43,22,16,4,0,2,0,4.0,8.0,74.42,0.05
JD Newton,4,32,51,31,16,1,0,2,1,4.0,8.0,62.75,0.06
KRP Silva,2,32,12,4,4,1,0,2,3,2.0,16.0,266.67,0.42
VM Andrew,5,32,60,51,16,2,0,3,0,5.0,6.4,53.33,0.05
AAA Patel,4,32,31,25,1,3,1,4,1,4.0,8.0,103.23,0.16
OT Wallerson,4,32,64,41,22,3,0,1,0,4.0,8.0,50.0,0.02
Sheraz Sirwari,3,32,17,6,6,1,0,0,4,3.0,10.67,188.24,0.24
J West,4,32,53,34,18,3,0,2,0,3.0,10.67,60.38,0.04
Rakibul Hasan,6,32,24,12,6,2,0,4,1,4.0,8.0,133.33,0.21
Irfan Safi,3,32,22,12,6,2,0,1,3,2.0,16.0,145.45,0.18
Aaqib Sulehri,4,32,33,18,8,2,0,5,0,4.0,8.0,96.97,0.15
Bukhar Illikkal,4,32,32,13,16,1,0,2,1,3.0,10.67,100.0,0.09
SNJ O'Keefe,5,32,26,14,6,2,0,4,1,4.0,8.0,123.08,0.19
JJ Wright,3,32,32,13,19,0,1,1,1,2.0,16.0,100.0,0.06
R Overman,7,32,39,21,16,2,0,3,0,6.0,5.33,82.05,0.08
HA Varaiya,4,32,48,27,13,6,1,1,0,0.0,32.0,66.67,0.02
R Limbu,3,32,47,32,10,0,0,4,1,3.0,10.67,68.09,0.11
ZR Jaboneke,5,32,44,21,20,3,0,0,1,2.0,16.0,72.73,0.02
ML Bojang,5,32,32,19,6,3,2,2,1,5.0,6.4,100.0,0.09
Panna Ghosh,11,32,49,29,18,5,0,1,0,4.0,8.0,65.31,0.02
CM Saldanha,8,32,58,36,21,2,1,1,0,4.0,8.0,55.17,0.02
DE Burgess,6,32,59,29,30,1,0,0,0,3.0,10.67,54.24,0.0
Aftab Kayani,3,32,32,16,8,6,0,3,0,3.0,10.67,100.0,0.09
K Ghalley,4,32,41,19,18,3,0,2,0,2.0,16.0,78.05,0.05
Qasim Akram,2,32,31,15,10,1,0,5,0,2.0,16.0,103.23,0.16
J Efosa,8,32,60,44,14,3,0,3,0,3.0,10.67,53.33,0.05
SE Findlay,2,32,31,14,10,3,0,4,0,2.0,16.0,103.23,0.13
BK Stroud,6,32,79,57,18,5,0,1,0,3.0,10.67,40.51,0.01
CR Richards,9,32,50,35,12,3,0,2,1,8.0,4.0,64.0,0.06
D Pavelic,2,32,54,33,26,1,0,1,0,2.0,16.0,59.26,0.02
Salman Patel,6,32,35,21,10,2,0,3,1,4.0,8.0,91.43,0.11
NT Rajendran,5,31,29,10,17,1,0,3,0,1.0,31.0,106.9,0.1
E Gebhard,3,31,59,53,19,6,0,0,0,2.0,15.5,52.54,0.0
JW Dernbach,9,31,32,15,13,1,0,4,0,3.0,10.33,96.88,0.12
M Tarimiala,8,31,55,35,17,3,0,2,0,4.0,7.75,56.36,0.04
R Dravid,1,31,21,6,11,1,0,0,3,1.0,31.0,147.62,0.14
Parvindar Kumar,4,31,26,10,11,2,0,1,2,3.0,10.33,119.23,0.12
Parveen Kumar,7,31,51,37,13,3,0,0,2,6.0,5.17,60.78,0.04
Jahurul Islam,3,31,23,10,7,3,0,3,1,3.0,10.33,134.78,0.17
D Marks,6,31,35,16,13,4,0,1,1,3.0,10.33,88.57,0.06
Jiaping Li,10,31,96,87,15,4,0,2,0,8.0,3.88,32.29,0.02
CS Fraser,10,31,65,49,13,4,0,1,1,4.0,7.75,47.69,0.03
PA Nixon,1,31,22,6,12,1,1,2,1,0.0,31.0,140.91,0.14
M Tsarsi,4,31,75,70,11,2,0,4,0,3.0,10.33,41.33,0.05
Usman Qadir,7,31,27,10,11,3,0,2,1,4.0,7.75,114.81,0.11
Sultana Khatun,8,31,51,33,15,2,0,3,0,6.0,5.17,60.78,0.06
H Sawanneh,7,31,51,32,17,3,0,2,0,5.0,6.2,60.78,0.04
Syed Maisam Ali,4,31,24,10,9,3,0,1,2,1.0,31.0,129.17,0.12
Soyeb Pendi,7,31,28,19,5,0,0,2,3,4.0,7.75,110.71,0.18
Shahadat Hossain,5,31,41,22,15,2,0,3,0,4.0,7.75,75.61,0.07
TS Braat,2,31,30,17,9,0,0,4,1,1.0,31.0,103.33,0.17
TR Birt,3,31,33,19,9,2,0,3,1,3.0,10.33,93.94,0.12
B Shotorova,10,31,102,97,23,2,0,1,0,9.0,3.44,30.39,0.01
S Walaza,13,31,52,31,17,3,0,2,0,9.0,3.44,59.62,0.04
J Cama,5,31,28,14,9,2,0,0,3,5.0,6.2,110.71,0.11
TJ Mahe,8,31,48,33,11,2,0,4,0,8.0,3.88,64.58,0.08
RT Nielsen,2,31,56,36,21,5,0,0,0,2.0,15.5,55.36,0.0
LN Saishiv,1,31,31,16,13,1,0,1,2,1.0,31.0,100.0,0.1
A Katoa,3,31,67,48,17,5,0,1,0,3.0,10.33,46.27,0.01
DG Weakley,6,31,50,30,17,2,0,1,1,5.0,6.2,62.0,0.04
CAK Rajitha,8,31,53,39,18,1,1,2,0,2.0,15.5,58.49,0.04
D Khanal,3,31,35,24,5,2,0,4,1,3.0,10.33,88.57,0.14
G Toka,2,31,27,12,9,2,0,3,1,1.0,31.0,114.81,0.15
L Bigula,3,31,49,31,13,5,0,2,0,2.0,15.5,63.27,0.04
S Kollery,2,31,43,25,13,1,0,4,0,1.0,31.0,72.09,0.09
JDA Richardson,5,31,48,30,15,2,0,3,0,4.0,7.75,64.58,0.06
P Kaveao,5,31,50,33,15,0,0,4,0,3.0,10.33,62.0,0.08
Eri Iko,3,31,48,27,19,2,0,2,0,3.0,10.33,64.58,0.04
K Ramharack,13,30,58,35,20,5,0,0,0,5.0,6.0,51.72,0.0
CJPF Kalugamage,8,30,44,22,20,3,0,1,0,3.0,10.0,68.18,0.02
Imran Khan,15,30,41,25,12,3,0,3,0,9.0,3.33,73.17,0.07
A Morris,12,30,67,50,14,4,0,2,0,4.0,7.5,44.78,0.03
Batool Fatima,7,30,41,26,14,2,0,3,0,4.0,7.5,73.17,0.07
EA Burns,1,30,18,8,4,1,0,6,0,0.0,30.0,166.67,0.33
Taful Elkhair,6,30,51,28,22,4,0,0,0,4.0,7.5,58.82,0.0
Danyal Akbar,3,30,31,12,14,4,0,2,0,1.0,30.0,96.77,0.06
JB Abega,12,30,77,54,20,3,0,1,0,12.0,2.5,38.96,0.01
Andre Jarju,8,30,71,53,15,2,1,2,0,5.0,6.0,42.25,0.03
GS Ballance,1,30,29,13,12,2,0,2,1,1.0,30.0,103.45,0.1
Mohammad Ghazanfar,11,30,48,30,13,3,1,2,0,4.0,7.5,62.5,0.04
MGMCP Gunawardene,4,30,48,23,25,1,1,0,0,2.0,15.0,62.5,0.0
NH Ekanayake,4,30,43,31,8,2,0,3,1,3.0,10.0,69.77,0.09
OSB Tilley,5,30,38,26,10,0,0,5,0,4.0,7.5,78.95,0.13
J Wilson,2,30,18,8,6,0,0,3,2,1.0,30.0,166.67,0.28
DK Pallekonda,9,30,42,29,12,1,0,4,0,7.0,4.29,71.43,0.1
T Salcedo,3,30,33,29,4,3,0,5,0,3.0,10.0,90.91,0.15
R Poojary,7,30,52,33,18,3,0,0,1,7.0,4.29,57.69,0.02
Yan Zuying,8,30,84,62,24,3,0,0,0,6.0,5.0,35.71,0.0
B Wani,8,30,67,56,12,5,0,2,0,8.0,3.75,44.78,0.03
R Castillo,12,30,58,41,18,0,0,3,0,8.0,3.75,51.72,0.05
Hamed Khan,5,30,43,20,20,1,0,2,0,4.0,7.5,69.77,0.05
A Nortje,14,30,50,31,16,2,0,1,1,7.0,4.29,60.0,0.04
YS Blagg,6,30,34,16,10,6,0,2,0,2.0,15.0,88.24,0.06
A Mustafa,5,30,27,7,12,7,0,1,0,2.0,15.0,111.11,0.04
Junaid Siddiqui,6,30,33,12,18,3,0,0,1,3.0,10.0,90.91,0.03
Melanie Ani,4,30,47,39,12,1,0,4,0,3.0,10.0,63.83,0.09
N Tokizawa,4,30,54,34,18,4,0,1,0,1.0,30.0,55.56,0.02
JC Darji,6,30,44,29,10,2,0,4,0,6.0,5.0,68.18,0.09
R Turay,1,30,27,18,6,4,0,4,0,1.0,30.0,111.11,0.15
RJ Trott,7,30,56,41,14,2,0,3,0,4.0,7.5,53.57,0.05
C Sosa,11,30,87,65,26,2,0,0,0,7.0,4.29,34.48,0.0
RV Viraj,4,30,52,38,10,0,0,5,0,4.0,7.5,57.69,0.1
NMP Suwandewi,7,30,73,52,22,2,0,1,0,4.0,7.5,41.1,0.01
D Cato,3,30,59,42,12,5,0,2,0,3.0,10.0,50.85,0.03
J Pakhiaokajee,5,30,39,23,10,3,0,2,1,3.0,10.0,76.92,0.08
B Maphosa,4,30,39,21,12,6,0,0,1,2.0,15.0,76.92,0.03
J Abwom,4,30,54,36,15,2,1,2,0,3.0,10.0,55.56,0.04
J Chirila,3,30,55,45,14,6,0,1,0,1.0,30.0,54.55,0.02
WW Hinds,4,30,41,24,12,3,0,3,0,3.0,10.0,73.17,0.07
Ma Ruike,6,30,57,47,14,2,0,3,0,3.0,10.0,52.63,0.05
J Pickering,5,29,39,18,17,4,0,1,0,3.0,9.67,74.36,0.03
MM Siddique,2,29,20,8,7,0,0,4,1,1.0,29.0,145.0,0.25
D Robson,5,29,43,25,17,3,0,0,1,4.0,7.25,67.44,0.02
Reehana Khan,4,29,38,26,9,4,0,3,0,2.0,14.5,76.32,0.08
Awais Ikram,5,29,29,17,5,3,0,3,1,3.0,9.67,100.0,0.14
G Anujin,13,29,82,72,9,6,0,2,0,13.0,2.23,35.37,0.02
EJ Carson,10,29,40,21,17,2,0,2,0,5.0,5.8,72.5,0.05
Lujaina,5,29,42,38,11,5,0,2,0,5.0,5.8,69.05,0.05
DI Dusabemungu,6,29,70,54,11,7,0,1,0,5.0,5.8,41.43,0.01
C Mutasa,7,29,31,14,9,6,0,2,0,4.0,7.25,93.55,0.06
Sumayya Abdul,5,29,105,99,9,0,0,5,0,4.0,7.25,27.62,0.05
Zahid Ali,2,29,23,5,15,1,0,3,0,0.0,29.0,126.09,0.13
Khalid Niazi,3,29,36,19,12,5,1,1,0,1.0,29.0,80.56,0.03
N Zholudz,8,29,89,82,21,2,0,1,0,7.0,4.14,32.58,0.01
A King,6,29,33,19,9,2,0,4,0,2.0,14.5,87.88,0.12
FE Carava,5,29,63,45,17,4,0,1,0,5.0,5.8,46.03,0.02
MD Rocha,5,29,55,36,19,3,0,1,0,3.0,9.67,52.73,0.02
DK Shetty,5,29,24,8,11,4,0,1,1,2.0,14.5,120.83,0.08
N Sharma,6,29,57,37,19,3,0,1,0,5.0,5.8,50.88,0.02
Mirab Sajjad,7,29,75,81,15,1,0,3,0,5.0,5.8,38.67,0.04
Fazil Muhammad,4,29,43,27,11,7,0,1,0,3.0,9.67,67.44,0.02
ZL Thoon,6,29,47,32,12,3,1,2,0,4.0,7.25,61.7,0.04
P Malav,8,29,44,33,13,4,0,2,0,7.0,4.14,65.91,0.05
N Peter,5,29,25,10,7,5,0,3,0,2.0,14.5,116.0,0.12
VM Vaghela,1,29,32,12,15,3,0,2,0,1.0,29.0,90.62,0.06
M Kaukura,4,29,60,42,17,0,0,3,0,3.0,9.67,48.33,0.05
P Pratt,10,29,52,35,17,2,0,2,0,4.0,7.25,55.77,0.04
V Pulibanti,7,29,53,48,9,0,0,5,0,5.0,5.8,54.72,0.09
HN Ya France,8,29,32,19,9,0,2,2,1,6.0,4.83,90.62,0.09
S Bhardwaj,7,29,67,57,17,4,0,1,0,6.0,4.83,43.28,0.01
Jahandad Khan,5,29,34,17,13,2,0,0,2,4.0,7.25,85.29,0.06
Muhammad Usman (3),1,29,18,4,11,4,0,1,1,0.0,29.0,161.11,0.11
A Mossop,4,29,53,37,13,4,0,2,0,1.0,29.0,54.72,0.04
SD Hussein,10,29,86,67,19,3,0,1,0,9.0,3.22,33.72,0.01
MADI Hemantha,5,29,34,13,17,2,0,2,0,3.0,9.67,85.29,0.06
MS Diakite,8,28,55,42,8,2,0,4,0,8.0,3.5,50.91,0.07
Smriti Anand,2,28,37,19,18,1,0,2,0,2.0,14.0,75.68,0.05
J Cutinho,4,28,41,27,8,3,0,2,1,4.0,7.0,68.29,0.07
T Tereza,3,28,54,48,12,4,0,2,0,2.0,14.0,51.85,0.04
MO Bacarese,3,28,55,35,20,1,0,0,1,3.0,9.33,50.91,0.02
Mansoor Malangzai,1,28,16,7,4,2,0,2,2,1.0,28.0,175.0,0.25
Mian Mehmood,4,28,33,15,12,4,0,2,0,3.0,9.33,84.85,0.06
L Perera,3,28,35,18,12,4,0,2,0,1.0,28.0,80.0,0.06
S Sheelan,1,28,28,12,10,3,0,3,0,1.0,28.0,100.0,0.11
AS Miranda,9,28,97,101,18,2,0,0,1,9.0,3.11,28.87,0.01
Mohammed Jimia,3,28,50,33,16,4,0,1,0,3.0,9.33,56.0,0.02
A Nehra,5,28,39,28,10,1,0,1,2,5.0,5.6,71.79,0.08
R Goodwin,9,28,55,39,10,7,0,1,0,7.0,4.0,50.91,0.02
EMC Fowler,6,28,60,42,16,6,0,0,0,3.0,9.33,46.67,0.0
T Basile,5,28,39,24,6,7,0,2,0,4.0,7.0,71.79,0.05
T Chopra,5,28,39,21,17,2,1,1,0,2.0,14.0,71.79,0.03
A Paul,5,28,36,21,8,8,0,1,0,3.0,9.33,77.78,0.03
Aarti Priya,5,28,57,45,22,3,0,0,0,4.0,7.0,49.12,0.0
V Iriho,4,28,56,36,16,4,0,1,0,4.0,7.0,50.0,0.02
L Tastuki,2,28,34,17,14,3,0,2,0,2.0,14.0,82.35,0.06
TG Gordon,2,28,34,17,13,0,1,3,0,2.0,14.0,82.35,0.09
EL Kirkman,3,28,36,28,12,0,0,4,0,3.0,9.33,77.78,0.11
V Jayant,6,28,53,33,16,2,0,2,0,5.0,5.6,52.83,0.04
Amir Sharif,3,28,27,15,10,4,0,1,1,2.0,14.0,103.7,0.07
Kyte Gullem Keen,12,28,87,79,14,5,0,1,0,8.0,3.5,32.18,0.01
RMAU Grimmond,4,28,37,24,6,3,0,4,0,2.0,14.0,75.68,0.11
AK Muslar,5,28,68,54,14,3,0,2,0,4.0,7.0,41.18,0.03
NT Gireesh,8,28,41,30,8,1,0,3,1,6.0,4.67,68.29,0.1
Nooruddin Mujadady,2,28,17,4,6,4,0,2,1,1.0,28.0,164.71,0.18
Numan Ahmadzai,1,28,32,19,10,2,0,2,1,0.0,28.0,87.5,0.09
LM Massawe,2,28,30,13,12,6,0,1,0,0.0,28.0,93.33,0.03
A Tagilala,3,28,47,28,14,3,0,2,0,2.0,14.0,59.57,0.04
C Connolly,7,28,30,18,6,3,0,1,2,6.0,4.67,93.33,0.1
NG Jones,3,28,24,9,12,2,0,0,2,1.0,28.0,116.67,0.08
GA Elwiss,4,28,29,11,14,1,0,3,0,2.0,14.0,96.55,0.1
Ly Saomakara,5,28,88,75,14,3,0,2,0,5.0,5.6,31.82,0.02
CE Coulter Reilly,8,28,39,21,13,4,1,1,0,5.0,5.6,71.79,0.03
Shivam Mavi,2,28,18,7,6,1,0,2,2,2.0,14.0,155.56,0.22
NL Mtomba,3,28,21,8,7,2,1,2,1,2.0,14.0,133.33,0.14
RA Abolarin,4,28,21,9,7,2,1,2,1,2.0,14.0,133.33,0.14
Wang Liuyang,4,28,51,33,16,2,0,2,0,4.0,7.0,54.9,0.04
S Kamate,9,28,57,47,8,4,0,3,0,9.0,3.11,49.12,0.05
M Gill,3,28,36,17,14,3,0,2,0,2.0,14.0,77.78,0.06
MG Hunter,2,28,40,27,14,2,0,1,1,2.0,14.0,70.0,0.05
S Joseph,3,28,18,8,6,1,0,2,2,0.0,28.0,155.56,0.22
ME Leoela,10,28,65,57,14,5,0,1,0,7.0,4.0,43.08,0.02
S Saengsakaorat,4,27,40,25,12,4,1,1,0,2.0,13.5,67.5,0.02
S Hongsi,3,27,16,5,5,2,0,3,1,0.0,27.0,168.75,0.25
Eyman Fatima,3,27,24,11,7,3,0,2,1,2.0,13.5,112.5,0.12
R Drake,7,27,30,11,14,3,1,1,0,1.0,27.0,90.0,0.03
SS Pathirana,5,27,24,11,9,3,0,3,0,5.0,5.4,112.5,0.12
PN Sproul,1,27,23,8,10,1,1,3,0,0.0,27.0,117.39,0.13
D Ndipo,3,27,26,15,9,1,0,4,0,1.0,27.0,103.85,0.15
EM Bermingham,7,27,23,10,7,3,2,2,0,6.0,4.5,117.39,0.09
LF Mavume,3,27,40,29,7,1,0,3,1,3.0,9.0,67.5,0.1
B Khumalo,9,27,42,24,15,4,0,1,0,3.0,9.0,64.29,0.02
Imran Arif,2,27,38,27,9,1,0,1,2,2.0,13.5,71.05,0.08
MA Wood,7,27,28,10,13,3,0,2,0,1.0,27.0,96.43,0.07
