player_name,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct,innings_bowled,legal_balls_bowled,runs_conceded,wickets_taken,wides_bowled,noballs_bowled,dots_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate,batting_cluster,bowling_cluster
A Reyes,16.0,171.0,192.0,113.0,66.0,11.0,1.0,17.0,2.0,12.0,14.25,89.06,0.1,19.0,255.0,350.0,19.0,20.0,3.0,128.0,42.5,8.24,18.42,13.42,0,0
A Saifee,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Salomao,21.0,75.0,124.0,98.0,28.0,12.0,1.0,5.0,0.0,14.0,5.36,60.48,0.04,26.0,552.0,475.0,19.0,49.0,9.0,384.0,92.0,5.16,25.0,29.05,3,2
A Samildeen,3.0,6.0,39.0,37.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,15.38,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1
A Sangare,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Sarma,2.0,37.0,46.0,25.0,17.0,1.0,0.0,3.0,1.0,2.0,18.5,80.43,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
A Sathyan,2.0,10.0,15.0,9.0,4.0,1.0,0.0,1.0,0.0,0.0,10.0,66.67,0.07,1.0,12.0,16.0,1.0,4.0,0.0,10.0,2.0,8.0,16.0,12.0,-1,-1
A Saud,3.0,70.0,63.0,35.0,18.0,0.0,0.0,7.0,4.0,3.0,23.33,111.11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
A Savvani,17.0,136.0,267.0,200.0,87.0,11.0,1.0,6.0,0.0,11.0,12.36,50.94,0.02,22.0,395.0,409.0,16.0,44.0,6.0,234.0,65.83,6.21,25.56,24.69,0,2
A Sawyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,22.0,0.0,2.0,0.0,4.0,2.0,11.0,0.0,0.0,-1,-1
